"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","70.53","70.53","70.53","70.53","-","-0.01%"
"Dec 30, 2019","70.54","70.30","70.30","70.30","0.02K","-0.20%"
"Dec 27, 2019","70.68","70.68","70.68","70.68","0.00K","0.40%"
"Dec 26, 2019","70.40","70.40","70.40","70.40","-","0.00%"
"Dec 24, 2019","70.40","70.00","70.45","70.00","0.01K","0.72%"
"Dec 23, 2019","69.90","69.85","69.85","69.75","0.02K","0.10%"
"Dec 20, 2019","69.83","70.40","70.40","70.40","0.00K","-1.36%"
"Dec 19, 2019","70.79","71.00","71.00","71.00","0.02K","0.14%"
"Dec 18, 2019","70.69","71.00","71.00","70.65","0.02K","-0.14%"
"Dec 17, 2019","70.79","71.00","71.00","71.00","0.01K","-0.04%"
"Dec 16, 2019","70.82","70.82","70.82","70.82","0.01K","0.10%"
"Dec 13, 2019","70.75","70.75","70.75","70.75","0.00K","-0.41%"
"Dec 12, 2019","71.04","71.00","71.25","71.00","0.02K","0.42%"
"Dec 11, 2019","70.74","70.74","70.74","70.74","0.02K","0.54%"
"Dec 10, 2019","70.36","70.25","70.40","70.20","0.01K","-0.27%"
"Dec 09, 2019","70.55","70.65","70.65","70.65","0.01K","-0.93%"
"Dec 06, 2019","71.21","72.00","72.00","71.00","0.02K","-1.21%"
"Dec 05, 2019","72.08","72.50","72.50","72.10","0.01K","-0.61%"
"Dec 04, 2019","72.52","73.00","73.00","72.50","0.04K","-0.93%"
"Dec 03, 2019","73.20","73.50","73.50","73.25","0.03K","-0.14%"
"Dec 02, 2019","73.30","73.40","73.40","73.25","0.05K","-1.32%"
"Nov 29, 2019","74.28","73.75","73.90","73.75","0.04K","0.95%"
"Nov 28, 2019","73.58","73.60","73.60","73.50","0.01K","-0.41%"
"Nov 27, 2019","73.88","73.60","73.60","73.00","0.06K","-0.42%"
"Nov 26, 2019","74.19","73.10","74.30","73.10","0.03K","1.16%"
"Nov 25, 2019","73.34","75.00","75.00","73.40","0.03K","-1.52%"
"Nov 22, 2019","74.47","74.50","74.75","74.50","0.02K","0.07%"
"Nov 21, 2019","74.42","74.45","74.50","74.45","0.02K","0.09%"
"Nov 20, 2019","74.35","74.25","74.25","74.25","0.02K","0.64%"
"Nov 19, 2019","73.88","73.15","73.80","73.15","0.03K","1.68%"
"Nov 18, 2019","72.66","72.75","72.75","72.75","0.04K","-1.01%"
"Nov 15, 2019","73.40","73.25","73.25","73.25","0.01K","0.55%"
"Nov 14, 2019","73.00","72.25","73.00","72.25","0.03K","0.87%"
"Nov 13, 2019","72.37","72.15","72.30","72.15","0.03K","0.40%"
"Nov 12, 2019","72.08","72.00","72.25","72.00","0.02K","0.71%"
"Nov 11, 2019","71.57","71.70","71.90","71.70","0.01K","-1.26%"
"Nov 08, 2019","72.48","72.00","72.00","72.00","0.02K","0.71%"
"Nov 07, 2019","71.97","71.65","72.00","71.65","0.01K","0.18%"
"Nov 06, 2019","71.84","71.75","71.75","71.75","0.02K","-1.02%"
"Nov 05, 2019","72.58","72.50","72.65","72.50","0.01K","0.39%"
"Nov 04, 2019","72.30","71.70","72.25","71.45","0.02K","0.29%"
"Nov 01, 2019","72.09","72.09","72.09","72.09","-","0.11%"
"Oct 31, 2019","72.01","71.90","71.90","71.75","0.02K","-0.19%"
"Oct 30, 2019","72.15","72.50","72.65","72.50","0.03K","-0.21%"
"Oct 29, 2019","72.30","72.40","72.40","72.00","0.03K","-1.20%"
"Oct 28, 2019","73.18","73.35","73.35","72.85","0.05K","-0.31%"
"Oct 25, 2019","73.41","73.75","73.75","73.55","0.05K","-0.85%"
"Oct 24, 2019","74.04","73.80","74.00","73.65","0.04K","-0.22%"
"Oct 23, 2019","74.20","75.30","75.50","74.00","0.03K","-1.60%"
"Oct 22, 2019","75.41","76.25","76.25","75.70","0.07K","-0.32%"
"Oct 21, 2019","75.65","75.75","75.75","75.75","0.02K","0.37%"
"Oct 18, 2019","75.37","75.25","75.25","75.25","0.01K","0.55%"
"Oct 17, 2019","74.96","75.75","75.75","75.00","0.02K","-0.33%"
"Oct 16, 2019","75.21","74.90","75.10","74.90","0.04K","0.11%"
"Oct 15, 2019","75.13","75.65","75.65","75.35","0.01K","-0.77%"
"Oct 14, 2019","75.71","75.65","75.70","75.65","0.02K","-0.16%"
"Oct 11, 2019","75.83","75.83","75.83","75.83","0.02K","0.17%"
"Oct 10, 2019","75.70","76.00","76.00","75.60","0.04K","0.00%"
"Oct 09, 2019","75.70","76.00","76.10","75.70","0.04K","0.11%"
"Oct 08, 2019","75.62","76.00","76.00","75.55","0.04K","0.21%"
"Oct 07, 2019","75.46","75.00","75.25","75.00","0.04K","1.75%"
"Oct 04, 2019","74.16","74.10","74.10","74.10","0.02K","1.04%"
"Oct 03, 2019","73.40","74.85","74.85","73.10","0.04K","-2.09%"
"Oct 02, 2019","74.97","75.75","75.75","74.90","0.03K","-1.42%"
"Oct 01, 2019","76.05","76.25","76.25","76.00","0.02K","-0.68%"
"Sep 30, 2019","76.57","76.50","76.50","76.00","0.04K","0.75%"
"Sep 27, 2019","76.00","75.50","76.15","75.50","0.02K","0.46%"
"Sep 26, 2019","75.65","75.80","76.00","75.80","0.02K","1.07%"
"Sep 25, 2019","74.85","75.25","75.25","74.95","0.02K","-1.10%"
"Sep 24, 2019","75.68","76.25","76.25","76.00","0.01K","-1.07%"
"Sep 23, 2019","76.50","76.50","76.50","76.50","0.01K","-1.52%"
"Sep 20, 2019","77.68","77.68","77.68","77.68","0.00K","0.31%"
"Sep 19, 2019","77.44","77.75","77.75","77.75","0.02K","0.40%"
"Sep 18, 2019","77.13","77.35","77.35","77.10","0.03K","-0.95%"
"Sep 17, 2019","77.87","78.25","78.55","78.00","0.02K","-0.95%"
"Sep 16, 2019","78.62","78.00","78.75","78.00","0.02K","1.96%"
"Sep 13, 2019","77.11","76.75","77.00","76.75","0.01K","1.33%"
"Sep 12, 2019","76.10","76.00","76.50","76.00","0.02K","0.65%"
"Sep 11, 2019","75.61","76.00","76.25","75.50","0.03K","-0.50%"
"Sep 10, 2019","75.99","75.00","75.90","75.00","0.05K","1.99%"
"Sep 09, 2019","74.51","74.25","74.50","74.25","0.03K","-0.55%"
"Sep 06, 2019","74.92","75.00","75.00","75.00","0.01K","0.19%"
"Sep 05, 2019","74.78","74.55","74.55","74.50","0.01K","1.33%"
"Sep 04, 2019","73.80","74.00","74.25","74.00","0.04K","0.01%"
"Sep 03, 2019","73.79","72.60","74.00","72.60","0.01K","2.10%"
"Sep 02, 2019","72.27","71.50","71.50","71.50","0.01K","0.43%"
"Aug 30, 2019","71.96","72.30","72.75","71.90","0.02K","-0.47%"
"Aug 29, 2019","72.30","71.30","71.85","71.30","0.03K","1.16%"
"Aug 28, 2019","71.47","72.00","72.00","71.75","0.03K","-1.62%"
"Aug 27, 2019","72.65","73.00","73.00","72.50","0.02K","-0.56%"
"Aug 26, 2019","73.06","73.75","73.75","73.75","0.00K","-0.27%"
"Aug 23, 2019","73.26","73.00","73.20","73.00","0.00K","0.49%"
"Aug 22, 2019","72.90","72.90","72.90","72.90","0.00K","0.25%"
"Aug 21, 2019","72.72","73.45","73.45","73.00","0.07K","-1.99%"
"Aug 20, 2019","74.20","75.00","75.35","73.80","0.03K","-0.44%"
"Aug 19, 2019","74.53","74.50","74.60","74.50","0.01K","0.70%"
"Aug 16, 2019","74.01","74.25","74.50","74.25","0.01K","-0.20%"
"Aug 15, 2019","74.16","75.35","75.35","74.25","0.05K","-2.36%"
"Aug 14, 2019","75.95","76.00","76.00","75.90","0.02K","-1.12%"
"Aug 13, 2019","76.81","76.50","77.00","76.50","0.02K","0.55%"
"Aug 12, 2019","76.39","76.25","76.25","76.00","0.03K","-0.27%"
"Aug 09, 2019","76.60","76.75","76.75","76.75","0.01K","-1.03%"
"Aug 08, 2019","77.40","77.40","77.40","77.40","0.00K","0.03%"
"Aug 07, 2019","77.38","77.45","77.45","76.75","0.01K","-0.60%"
"Aug 06, 2019","77.85","78.50","78.50","77.85","0.01K","-0.64%"
