"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","24.90","24.90","24.90","24.90","-","-0.40%"
"Dec 30, 2019","25.00","25.00","25.00","25.00","-","0.00%"
"Dec 27, 2019","25.00","25.00","25.00","25.00","-","-0.20%"
"Dec 26, 2019","25.05","25.05","25.05","25.05","-","-0.20%"
"Dec 24, 2019","25.10","25.10","25.10","25.10","-","0.40%"
"Dec 23, 2019","25.00","25.00","25.00","25.00","-","-0.99%"
"Dec 20, 2019","25.25","25.25","25.25","25.25","-","-0.79%"
"Dec 19, 2019","25.45","25.45","25.45","25.45","-","0.00%"
"Dec 18, 2019","25.45","25.45","25.45","25.45","-","0.00%"
"Dec 17, 2019","25.45","25.45","25.45","25.45","-","-0.39%"
"Dec 16, 2019","25.55","25.55","25.55","25.55","-","0.00%"
"Dec 13, 2019","25.55","25.55","25.55","25.55","-","-0.78%"
"Dec 12, 2019","25.75","25.75","25.75","25.75","-","-0.39%"
"Dec 11, 2019","25.85","25.85","25.85","25.85","-","0.00%"
"Dec 10, 2019","25.85","25.85","25.85","25.85","-","0.00%"
"Dec 09, 2019","25.85","25.85","25.85","25.85","-","-0.19%"
"Dec 06, 2019","25.90","25.90","25.90","25.90","-","0.00%"
"Dec 05, 2019","25.90","25.90","25.90","25.90","-","-0.19%"
"Dec 04, 2019","25.95","25.95","25.95","25.95","-","0.00%"
"Dec 03, 2019","25.95","25.95","25.95","25.95","-","0.00%"
"Dec 02, 2019","25.95","25.95","25.95","25.95","-","0.00%"
"Nov 29, 2019","25.95","25.95","25.95","25.95","-","0.00%"
"Nov 27, 2019","25.95","25.95","25.95","25.95","-","0.19%"
"Nov 26, 2019","25.90","25.90","25.90","25.90","-","-0.38%"
"Nov 25, 2019","26.00","26.00","26.00","26.00","-","0.19%"
"Nov 22, 2019","25.95","25.95","25.95","25.95","-","-0.19%"
"Nov 21, 2019","26.00","26.00","26.00","26.00","-","0.19%"
"Nov 20, 2019","25.95","25.95","25.95","25.95","-","0.00%"
"Nov 19, 2019","25.95","25.95","25.95","25.95","-","2.17%"
"Nov 18, 2019","25.40","25.40","25.40","25.40","-","1.40%"
"Nov 15, 2019","25.05","25.05","25.05","25.05","-","0.20%"
"Nov 14, 2019","25.00","25.00","25.00","25.00","-","0.60%"
"Nov 13, 2019","24.85","24.85","24.85","24.85","-","0.81%"
"Nov 12, 2019","24.65","24.65","24.65","24.65","-","0.00%"
"Nov 11, 2019","24.65","24.65","24.65","24.65","-","-0.20%"
"Nov 08, 2019","24.70","24.70","24.70","24.70","-","0.20%"
"Nov 07, 2019","24.65","24.65","24.65","24.65","-","0.82%"
"Nov 06, 2019","24.45","24.45","24.45","24.45","-","0.62%"
"Nov 05, 2019","24.30","24.30","24.30","24.30","-","0.41%"
"Nov 04, 2019","24.20","24.20","24.20","24.20","-","0.62%"
"Nov 01, 2019","24.05","24.05","24.05","24.05","-","0.84%"
"Oct 31, 2019","23.85","23.85","23.85","23.85","-","-0.21%"
"Oct 30, 2019","23.90","23.90","23.90","23.90","-","0.00%"
"Oct 29, 2019","23.90","23.90","23.90","23.90","-","-0.42%"
"Oct 28, 2019","24.00","24.00","24.00","24.00","-","-0.41%"
"Oct 25, 2019","24.10","24.10","24.10","24.10","-","-0.82%"
"Oct 24, 2019","24.30","24.30","24.30","24.30","-","-0.41%"
"Oct 23, 2019","24.40","24.40","24.40","24.40","-","-0.81%"
"Oct 22, 2019","24.60","24.60","24.60","24.60","-","-0.40%"
"Oct 21, 2019","24.70","24.70","24.70","24.70","-","-0.60%"
"Oct 18, 2019","24.85","24.85","24.85","24.85","-","-0.20%"
"Oct 17, 2019","24.90","24.90","24.90","24.90","-","0.00%"
"Oct 16, 2019","24.90","24.90","24.90","24.90","-","0.00%"
"Oct 15, 2019","24.90","24.90","24.90","24.90","-","-0.20%"
"Oct 14, 2019","24.95","24.95","24.95","24.95","-","0.20%"
"Oct 11, 2019","24.90","24.90","24.90","24.90","-","0.00%"
"Oct 10, 2019","24.90","24.90","24.90","24.90","-","-0.20%"
"Oct 09, 2019","24.95","24.95","24.95","24.95","-","0.00%"
"Oct 08, 2019","24.95","24.95","24.95","24.95","-","-0.99%"
"Oct 07, 2019","25.20","25.20","25.20","25.20","-","-0.20%"
"Oct 04, 2019","25.25","25.25","25.25","25.25","-","-0.39%"
"Oct 03, 2019","25.35","25.35","25.35","25.35","-","-0.20%"
"Oct 02, 2019","25.40","25.40","25.40","25.40","-","0.00%"
"Oct 01, 2019","25.40","25.40","25.40","25.40","-","-0.97%"
"Sep 30, 2019","25.65","25.65","25.65","25.65","-","0.39%"
"Sep 27, 2019","25.55","25.55","25.55","25.55","-","-0.58%"
"Sep 26, 2019","25.70","25.70","25.70","25.70","-","0.00%"
"Sep 25, 2019","25.70","25.70","25.70","25.70","-","0.00%"
"Sep 24, 2019","25.70","25.70","25.70","25.70","-","-0.19%"
"Sep 23, 2019","25.75","25.75","25.75","25.75","-","0.19%"
"Sep 20, 2019","25.70","25.70","25.70","25.70","-","0.00%"
"Sep 19, 2019","25.70","25.70","25.70","25.70","0.60K","0.19%"
"Sep 18, 2019","25.65","25.65","25.65","25.65","-","0.59%"
"Sep 17, 2019","25.50","25.50","25.50","25.50","-","0.79%"
"Sep 16, 2019","25.30","25.30","25.30","25.30","-","1.00%"
"Sep 13, 2019","25.05","25.05","25.05","25.05","-","0.60%"
"Sep 12, 2019","24.90","24.90","24.90","24.90","-","-0.80%"
"Sep 11, 2019","25.10","25.10","25.10","25.10","-","0.00%"
"Sep 10, 2019","25.10","25.10","25.10","25.10","-","-0.20%"
"Sep 09, 2019","25.15","25.15","25.15","25.15","-","-0.20%"
