datetime,GBP/mWh,temperature,coal Price,oil Price,uranium Price,natural gas Price
2013-01-01 01:00:00,37.76,48.48,95.59,111.11,43.5,3.351
2013-01-01 02:00:00,30.01,48.3,95.59,111.11,43.5,3.351
2013-01-01 03:00:00,21.98,46.4,95.59,111.11,43.5,3.351
2013-01-01 04:00:00,18.06,45.4,95.59,111.11,43.5,3.351
2013-01-01 05:00:00,18.06,44.44,95.59,111.11,43.5,3.351
2013-01-01 06:00:00,22.09,42.52,95.59,111.11,43.5,3.351
2013-01-01 07:00:00,22.09,41.12,95.59,111.11,43.5,3.351
2013-01-01 08:00:00,26.08,40.16,95.59,111.11,43.5,3.351
2013-01-01 09:00:00,30.08,39.54,95.59,111.11,43.5,3.351
2013-01-01 10:00:00,33.18,41.37,95.59,111.11,43.5,3.351
2013-01-01 11:00:00,43.19,43.2,95.59,111.11,43.5,3.351
2013-01-01 12:00:00,50.4,44.65,95.59,111.11,43.5,3.351
2013-01-01 13:00:00,50.19,45.3,95.59,111.11,43.5,3.351
2013-01-01 14:00:00,44.92,45.37,95.59,111.11,43.5,3.351
2013-01-01 15:00:00,48.02,45.25,95.59,111.11,43.5,3.351
2013-01-01 16:00:00,54.95,44.39,95.59,111.11,43.5,3.351
2013-01-01 17:00:00,85.83,42.65,95.59,111.11,43.5,3.351
2013-01-01 18:00:00,50.8,42.35,95.59,111.11,43.5,3.351
2013-01-01 19:00:00,44.79,41.9,95.59,111.11,43.5,3.351
2013-01-01 20:00:00,44.7,42.41,95.59,111.11,43.5,3.351
2013-01-01 21:00:00,43.05,41.76,95.59,111.11,43.5,3.351
2013-01-01 22:00:00,31.6,41.32,95.59,111.11,43.5,3.351
2013-01-01 23:00:00,37.53,41.32,95.59,111.11,43.5,3.351
2013-01-02 00:00:00,34.96,40.11,95.67,112.47,43.25,3.233
2013-01-02 01:00:00,31.31,40.91,95.67,112.47,43.25,3.233
2013-01-02 02:00:00,28.91,39.45,95.67,112.47,43.25,3.233
2013-01-02 03:00:00,28.03,38.71,95.67,112.47,43.25,3.233
2013-01-02 04:00:00,25.81,38.7,95.67,112.47,43.25,3.233
2013-01-02 05:00:00,30.08,38.6,95.67,112.47,43.25,3.233
2013-01-02 06:00:00,55.01,38.52,95.67,112.47,43.25,3.233
2013-01-02 07:00:00,39.09,39.94,95.67,112.47,43.25,3.233
2013-01-02 08:00:00,44.08,40.78,95.67,112.47,43.25,3.233
2013-01-02 09:00:00,46.97,42.4,95.67,112.47,43.25,3.233
2013-01-02 10:00:00,53.37,42.9,95.67,112.47,43.25,3.233
2013-01-02 11:00:00,55.06,44.56,95.67,112.47,43.25,3.233
2013-01-02 12:00:00,55.01,45.46,95.67,112.47,43.25,3.233
2013-01-02 13:00:00,50.06,46.55,95.67,112.47,43.25,3.233
2013-01-02 14:00:00,48.06,45.71,95.67,112.47,43.25,3.233
2013-01-02 15:00:00,42.4,45.83,95.67,112.47,43.25,3.233
2013-01-02 16:00:00,73.11,46.38,95.67,112.47,43.25,3.233
2013-01-02 17:00:00,125.0,47.62,95.67,112.47,43.25,3.233
2013-01-02 18:00:00,54.43,48.61,95.67,112.47,43.25,3.233
2013-01-02 19:00:00,59.01,49.82,95.67,112.47,43.25,3.233
2013-01-02 20:00:00,50.03,50.41,95.67,112.47,43.25,3.233
2013-01-02 21:00:00,43.07,50.64,95.67,112.47,43.25,3.233
2013-01-02 22:00:00,34.96,51.45,95.67,112.47,43.25,3.233
2013-01-02 23:00:00,38.02,51.44,95.67,112.47,43.25,3.233
2013-01-03 00:00:00,34.06,50.7,95.27,112.14,43.0,3.198
2013-01-03 01:00:00,30.54,50.44,95.27,112.14,43.0,3.198
2013-01-03 02:00:00,28.85,50.35,95.27,112.14,43.0,3.198
2013-01-03 03:00:00,27.67,50.39,95.27,112.14,43.0,3.198
2013-01-03 04:00:00,26.52,50.36,95.27,112.14,43.0,3.198
2013-01-03 05:00:00,29.56,50.16,95.27,112.14,43.0,3.198
2013-01-03 06:00:00,42.99,49.63,95.27,112.14,43.0,3.198
2013-01-03 07:00:00,48.4,49.61,95.27,112.14,43.0,3.198
2013-01-03 08:00:00,42.0,49.63,95.27,112.14,43.0,3.198
2013-01-03 09:00:00,42.81,49.7,95.27,112.14,43.0,3.198
2013-01-03 10:00:00,47.49,50.35,95.27,112.14,43.0,3.198
2013-01-03 11:00:00,48.76,50.94,95.27,112.14,43.0,3.198
2013-01-03 12:00:00,50.0,51.71,95.27,112.14,43.0,3.198
2013-01-03 13:00:00,51.01,52.38,95.27,112.14,43.0,3.198
2013-01-03 14:00:00,44.92,53.41,95.27,112.14,43.0,3.198
2013-01-03 15:00:00,41.99,52.33,95.27,112.14,43.0,3.198
2013-01-03 16:00:00,64.94,51.81,95.27,112.14,43.0,3.198
2013-01-03 17:00:00,89.93,51.49,95.27,112.14,43.0,3.198
2013-01-03 18:00:00,65.01,50.89,95.27,112.14,43.0,3.198
2013-01-03 19:00:00,54.9,50.94,95.27,112.14,43.0,3.198
2013-01-03 20:00:00,48.38,51.36,95.27,112.14,43.0,3.198
2013-01-03 21:00:00,49.02,51.59,95.27,112.14,43.0,3.198
2013-01-03 22:00:00,45.04,51.59,95.27,112.14,43.0,3.198
2013-01-03 23:00:00,39.09,51.63,95.27,112.14,43.0,3.198
2013-01-04 00:00:00,39.96,51.6,95.36,111.31,43.0,3.287
2013-01-04 01:00:00,34.92,51.17,95.36,111.31,43.0,3.287
2013-01-04 02:00:00,31.88,50.34,95.36,111.31,43.0,3.287
2013-01-04 03:00:00,29.98,49.74,95.36,111.31,43.0,3.287
2013-01-04 04:00:00,29.3,49.67,95.36,111.31,43.0,3.287
2013-01-04 05:00:00,30.07,49.5,95.36,111.31,43.0,3.287
2013-01-04 06:00:00,44.03,49.65,95.36,111.31,43.0,3.287
2013-01-04 07:00:00,48.07,49.61,95.36,111.31,43.0,3.287
2013-01-04 08:00:00,47.44,49.26,95.36,111.31,43.0,3.287
2013-01-04 09:00:00,49.93,49.01,95.36,111.31,43.0,3.287
2013-01-04 10:00:00,54.11,49.52,95.36,111.31,43.0,3.287
2013-01-04 11:00:00,58.9,50.22,95.36,111.31,43.0,3.287
2013-01-04 12:00:00,53.02,50.31,95.36,111.31,43.0,3.287
2013-01-04 13:00:00,54.16,50.35,95.36,111.31,43.0,3.287
2013-01-04 14:00:00,44.45,50.36,95.36,111.31,43.0,3.287
2013-01-04 15:00:00,40.36,50.36,95.36,111.31,43.0,3.287
2013-01-04 16:00:00,65.08,50.23,95.36,111.31,43.0,3.287
2013-01-04 17:00:00,99.9,50.1,95.36,111.31,43.0,3.287
2013-01-04 18:00:00,56.38,49.64,95.36,111.31,43.0,3.287
2013-01-04 19:00:00,54.9,49.51,95.36,111.31,43.0,3.287
2013-01-04 20:00:00,47.94,49.23,95.36,111.31,43.0,3.287
2013-01-04 21:00:00,47.95,48.45,95.36,111.31,43.0,3.287
2013-01-04 22:00:00,44.0,48.36,95.36,111.31,43.0,3.287
2013-01-04 23:00:00,44.06,47.91,95.36,111.31,43.0,3.287
2013-01-05 00:00:00,43.94,47.17,95.36,111.31,43.0,3.287
2013-01-05 01:00:00,35.09,46.59,95.36,111.31,43.0,3.287
2013-01-05 02:00:00,31.58,46.55,95.36,111.31,43.0,3.287
2013-01-05 03:00:00,27.59,46.5,95.36,111.31,43.0,3.287
2013-01-05 04:00:00,26.6,46.5,95.36,111.31,43.0,3.287
2013-01-05 05:00:00,27.08,46.58,95.36,111.31,43.0,3.287
2013-01-05 06:00:00,30.92,46.59,95.36,111.31,43.0,3.287
2013-01-05 07:00:00,36.51,47.7,95.36,111.31,43.0,3.287
2013-01-05 08:00:00,43.0,47.73,95.36,111.31,43.0,3.287
2013-01-05 09:00:00,46.93,47.86,95.36,111.31,43.0,3.287
